5
Hawaii County
-155.3931590000 20.0829172867
Kauai County
-159.4776010000 22.5611141382
Honolulu County
-158.0358610000 21.9437106825
Kalawao County
-156.9709830000 21.6886089772
Maui County
-156.6158390000 21.3806294390
17
15
18
-160.0000000000 22.5552977224
-160.0215150000 22.4968319931
-160.0281370000 22.4266574816
-160.1084440000 22.3752726824
-160.1383670000 22.3504208852
-160.1602480000 22.2920178990
-160.1979980000 22.2703013008
-160.2710720000 22.2942422677
-160.3015290000 22.3503314898
-160.2883150000 22.4514935686
-160.2729800000 22.4843785184
-160.1890110000 22.5490436774
-160.1734160000 22.5542095282
-160.1516720000 22.6267720506
-160.1250000000 22.6472959415
-160.0751500000 22.6444783289
-160.0271760000 22.6033304983
-160.0000000000 22.5552977224
15
19
-159.6729430000 22.4266574816
-159.6312560000 22.3961507725
-159.4495240000 22.3646397333
-159.3201140000 22.4517673203
-159.2928160000 22.4843990002
-159.2809140000 22.5708180041
-159.2450260000 22.6710896329
-159.2439120000 22.7202698676
-159.2823180000 22.8023958300
-159.3087920000 22.8312875402
-159.3896790000 22.8718163183
-159.5613400000 22.8669163253
-159.5963900000 22.8615431588
-159.7634120000 22.7662076696
-159.8005520000 22.6975231528
-159.8377230000 22.6630759662
-159.8509520000 22.5906968357
-159.8086090000 22.5106266475
-159.6729430000 22.4266574816
15
9
-160.5907440000 22.1574954552
-160.5707240000 22.1377735034
-160.5203700000 22.1359084643
-160.4915310000 22.1574954552
-160.4877930000 22.2150869077
-160.5000000000 22.2349930340
-160.5503080000 22.2511806861
-160.5918730000 22.2229750112
-160.5907440000 22.1574954552
15
25
-166.1132660000 24.4608914165
-166.1425930000 24.4984464342
-166.1823430000 24.6274077857
-166.2330630000 24.6560323488
-166.2883610000 24.6565618599
-166.3750000000 24.6120329670
-166.3865360000 24.5662093560
-166.3750000000 24.5424422474
-166.3225710000 24.5144909267
-166.3135680000 24.5196114259
-166.3197020000 24.4608914165
-166.3026120000 24.4375854125
-166.2859950000 24.4260670964
-166.2314910000 24.4320626214
-166.2148130000 24.4026564903
-166.2054140000 24.3971033838
-166.2298740000 24.3564658109
-166.2110600000 24.2968995658
-166.1944120000 24.2856828478
-166.1722110000 24.2830192928
-166.1167760000 24.3093885971
-166.1131290000 24.3374699825
-166.1307530000 24.3855348335
-166.1134950000 24.4031599390
-166.1132660000 24.4608914165
15
35
-158.1913450000 21.8689215397
-158.2248990000 21.8849338197
-158.2942960000 22.0150683833
-158.3040920000 22.0230893072
-158.3014070000 22.0530797958
-158.3314060000 22.0759777421
-158.3473970000 22.1159773892
-158.3224950000 22.1526558966
-158.1897580000 22.1690662575
-158.1250000000 22.2047135323
-158.1250000000 22.1894463472
-158.0982970000 22.2448679464
-158.0267940000 22.2920178990
-158.0000000000 22.2920178990
-158.0000000000 22.3079746308
