20
Wagoner County
-95.5448270000 38.5967325686
Garfield County
-97.8301250000 39.1160525134
Kay County
-97.1661080000 39.5958707677
Pittsburg County
-95.7143000000 37.3312085372
Rogers County
-95.6323320000 39.0377302573
Payne County
-96.9555020000 38.7251076343
Muskogee County
-95.3671340000 38.2465051804
Creek County
-96.3022980000 38.5994855388
Osage County
-96.3509650000 39.3416963289
Le Flore County
-94.6778230000 37.3759489736
Tulsa County
-95.9389990000 38.7874744106
Delaware County
-94.8158690000 39.2134432127
Comanche County
-98.4234600000 36.9589230842
Cleveland County
-97.4203150000 37.7048906672
Washington County
-95.9381400000 39.5378403794
Stephens County
-97.9404090000 36.7986881026
Carter County
-97.2201000000 36.4507131070
Oklahoma County
-97.4965250000 38.0289282023
Sequoyah County
-94.7888970000 37.9978244374
Grady County
-97.9024170000 37.4663328407
77
40
49
-95.7620470000 36.0381870650
-95.8408200000 36.0399973230
-95.8797680000 36.0900949841
-95.9355010000 36.1212532979
-95.9387210000 36.3428778513
-95.9543300000 36.3710053146
-95.9915770000 36.3806724838
-96.4076390000 36.3812803376
-96.4447400000 36.3813685553
-96.4539030000 36.3813177999
-96.4538040000 36.3372281631
-96.5853580000 36.3295012679
-96.5475160000 36.2689890960
-96.5730060000 36.2422618316
-96.5778430000 36.2499459292
-96.5782240000 36.2036449105
-96.6243970000 36.2035616715
-96.5770110000 36.1484180303
-96.5961070000 36.1265173872
-96.5805890000 36.0988848337
-96.5885010000 36.0647467359
-96.6295470000 36.0058655334
-96.5731510000 35.9734711011
-96.5275420000 35.9761167837
-96.5011440000 35.9176892658
-96.4233630000 35.9219431973
-96.3508830000 35.8140178508
-96.3183750000 35.8266543703
-96.2929990000 35.9095488178
-96.2211300000 35.8870940409
-96.1725230000 35.9096823414
-96.1569370000 35.9663276163
-96.1789090000 35.9618419779
-96.1524050000 35.9712262964
-96.1492230000 35.9950273296
-96.1019210000 35.9870360594
-96.1002120000 36.0080653393
-96.0397190000 35.9985404103
-96.0294420000 36.0182125081
-96.0232390000 36.0015166302
-96.0002520000 36.0098521895
-96.0036700000 36.0376956631
-95.9851840000 36.0150756533
-95.9516070000 36.0190217238
-95.9361340000 36.0549226280
-95.8319470000 35.9927025981
-95.8205950000 36.0207617999
-95.7592540000 36.0096739847
-95.7620470000 36.0381870650
40
39
-96.9700090000 36.2768176539
-97.5607600000 36.2771315330
-97.5608440000 36.1979932567
-97.5369800000 36.1727015528
-97.5586090000 36.1720153419
-97.5608600000 36.0703681623
-97.4877170000 36.0919061570
-97.4510650000 36.0607627692
-97.4545970000 35.9864943417
-97.3737340000 35.9737972940
-97.3324580000 36.0518244041
-97.3237760000 36.0487648188
-97.3341750000 36.0180932938
-97.3099140000 36.0570403637
-97.2634660000 36.0260628915
-97.2449490000 36.0745175651
-97.2080840000 36.0889237037
-97.1825710000 36.0679140213
-97.1670910000 36.0104771128
-97.2045820000 35.9743353339
-97.1933820000 35.9029642707
-97.1638640000 35.8660569714
-97.1252900000 35.8505086031
-97.0869900000 35.8805927026
-97.0932620000 35.9530277320
-97.0479740000 35.9719653312
-97.0531310000 35.9907101849
-97.0872650000 35.9982875801
-97.0877690000 36.0144832139
-97.0238950000 36.0036019617
-96.9850010000 36.0560393125
-96.9915770000 36.1332090892
-96.9799270000 36.1387040612
-96.9748690000 36.1142501994
-96.9348370000 36.1364194770
-96.9347840000 36.1994709803
-96.9588390000 36.2068152809
-96.9697190000 36.2070360524
-96.9700090000 36.2768176539
40
5
-94.5628050000 38.8332799186
-94.7972790000 38.8328303029
-94.8072970000 38.1874453520
-94.4726490000 38.1873887512
-94.5628050000 38.8332799186
40
24
-94.9278640000 37.4759491687
-94.9278110000 37.3438643362
-94.9979630000 37.3341936194
-94.9977340000 37.2292678039
-95.0156100000 37.2280772042
-95.0595090000 37.2279480305
-95.0596160000 37.0157889313
-94.9377590000 37.0148002884
-94.9376070000 36.8045989208
-94.4611510000 36.8052930490
-94.4326860000 37.8707475540
-94.4861450000 37.8529046749
-94.4939650000 37.8065103367
