20
Jefferson County
-94.0617680000 31.4547155499
Brazoria County
-95.3980590000 30.5602205422
Bell County
-97.5203270000 32.7217032263
Harris County
-95.3630560000 31.2281308107
El Paso County
-106.3518130000 33.5357093988
Bexar County
-98.5089440000 30.8432926504
Smith County
-95.2970190000 34.2019023346
Travis County
-97.7698090000 31.8451190421
McLennan County
-97.1664120000 33.2678642288
Galveston County
-94.9387750000 30.7689580924
Cameron County
-97.5574420000 27.0335666561
Nueces County
-97.4589440000 28.8999900603
Collin County
-96.6464610000 35.1467668300
Hidalgo County
-98.1597990000 27.2110551226
Williamson County
-97.6729830000 32.1640514112
Montgomery County
-95.4650370000 31.7798090816
Dallas County
-96.7888280000 34.7581655369
Webb County
-99.3898490000 28.7245904899
Lubbock County
-101.8520680000 35.6740762097
Fort Bend County
-95.6943770000 30.9880383145
254
48
44
-97.5410690000 29.3726702083
-97.5202790000 29.3577924004
-97.4739840000 29.3880648800
-97.4710850000 29.3612822889
-97.4416730000 29.3595186181
-97.4461750000 29.3363562272
-97.4223100000 29.3473505541
-97.4349820000 29.3324565703
-97.4038770000 29.3095034057
-97.4024810000 29.3344557100
-97.3831100000 29.3272451277
-97.3774190000 29.3431262107
-97.3448260000 29.3206529049
-97.3402560000 29.3356044080
-97.3249970000 29.3217470486
-97.3170850000 29.3417426993
-97.3164670000 29.3104183200
-97.2899400000 29.3156902651
-97.2608180000 29.2718618381
-97.2362520000 29.2561747707
-97.1431050000 29.3037363162
-97.0175400000 29.4160153253
-97.0285030000 29.4164113410
-97.1025390000 29.4433820302
-97.1256710000 29.4741129649
-97.1222610000 29.4955860013
-96.7903520000 29.5480612855
-96.7951430000 29.5995183980
-96.7631230000 29.6691827842
-96.7844240000 29.6940763484
-96.8140110000 29.6746932683
-96.8909910000 29.7618962300
-96.9162600000 29.7517459538
-96.9160540000 29.7375609008
-97.0225980000 29.7731535714
-97.0257800000 29.7987687550
-97.0513230000 29.7942701940
-97.0453800000 29.8103653939
-97.0799480000 29.8046790644
-97.0825960000 29.7908531306
-97.1043240000 29.8160223925
-97.1606140000 29.8144774783
-97.3757100000 29.6268323408
-97.5410690000 29.3726702083
48
44
-100.9606400000 31.8057041251
-101.7584000000 31.8060133311
-101.7609250000 31.2215401612
-101.7074740000 31.1979090953
-101.6616130000 31.2087263432
-101.6422420000 31.1901994009
-101.6266400000 31.2087943142
-101.5736310000 31.2091502986
-101.5665210000 31.2416428199
-101.5428700000 31.2553661706
-101.5359950000 31.1949186910
-101.4583050000 31.2298027295
-101.4466930000 31.1848479571
-101.4008870000 31.2077286717
